Symbol,Name
0008.HK,PCCW
0013.HK,HUTCHMED
0014.HK,HYSAN DEV
0019.HK,SWIRE PACIFIC A
0023.HK,BANK OF E ASIA
0123.HK,YUEXIU PROPERTY
0136.HK,CHINA RUYI
0144.HK,CHINA MER PORT
0148.HK,KINGBOARD HLDG
0152.HK,SHENZHEN INT'L
0165.HK,CHINA EB LTD
0168.HK,TSINGTAO BREW
0179.HK,JOHNSON ELEC H
0189.HK,DONGYUE GROUP
0200.HK,MELCO INT'L DEV
0220.HK,U-PRESID CHINA
0257.HK,EB ENVIRONMENT
0293.HK,CATHAY PAC AIR
0303.HK,VTECH HOLDINGS
0336.HK,HUABAO INTL
0345.HK,VITASOY INT'L
0354.HK,CHINASOFT INT'L
0358.HK,JIANGXI COPPER
0371.HK,BJ ENT WATER
0390.HK,CHINA RAILWAY
0392.HK,BEIJING ENT
0425.HK,MINTH GROUP
0460.HK,SIHUAN PHARM
0467.HK,UNITEDENERGY GP
0489.HK,DONGFENG GROUP
0493.HK,GOME RETAIL
0512.HK,GRAND PHARMA
0522.HK,ASMPT
0535.HK,GEMDALE PPT
0551.HK,YUE YUEN IND
0558.HK,LK TECH
0570.HK,TRAD CHI MED
0586.HK,CONCH VENTURE
0604.HK,SHENZHEN INVEST
0631.HK,SANY INT'L
0636.HK,KERRY LOG NET
0659.HK,NWS HOLDINGS
0667.HK,CHINA EAST EDU
0670.HK,CHINA EAST AIR
0683.HK,KERRY PPT
0696.HK,TRAVELSKY TECH
0728.HK,CHINA TELECOM
0753.HK,AIR CHINA
0754.HK,HOPSON DEV HOLD
0763.HK,ZTE
0772.HK,CHINA LIT
0778.HK,FORTUNE REIT
0780.HK,TONGCHENGTRAVEL
0788.HK,CHINA TOWER
0817.HK,CHINA JINMAO
0839.HK,CHINA EDU GROUP
0867.HK,CMS
0873.HK,SHIMAO SERVICES
0880.HK,SJM HOLDINGS
0884.HK,CIFI HOLD GP
0902.HK,HUANENG POWER
0909.HK,MING YUAN CLOUD
